Strike/Implied Volatility
85	/50.00
90	/50.00
95	/187.50
100	/171.88
105	/50.00
110	/50.00
115	/50.00
120	/50.00
125	/50.00
130	/50.00
135	/50.00
140	/50.00
145	/50.00
150	/50.00
155	/50.00
160	/25.00
165	/25.00
167.5/	25.00
170	/25.00
172.5/	25.00
175	/12.50
177.5/	12.50
180	/12.50
182.5/	12.50
185	/6.25
187.5/	3.13
190	/1.56
192.5/	0.00
195	/0.00
197.5/	0.00
200	/0.00
202.5/	0.00
205	/0.00
207.5/	0.00
210	/0.00
212.5/	0.00
215	/0.00
220	/0.00
225	/71.88
230	/0.00
235	/166.21
240	/0.00
245	/0.00
250	/0.00
260	/215.89
290	/0.00
300	/0.00
